taxon	marker1	marker2	marker3	marker4	marker5	marker6	marker7	marker8	marker9	marker10	marker11	marker12	marker13	marker14	marker15	marker16	marker17	marker18	marker19	marker20	marker21	marker22	marker23	marker24	marker25	marker26	marker27	marker28	marker29	marker30	marker31	marker32	marker33	marker34	marker35	marker36	marker37	marker38	marker39	marker40	marker41	marker42	marker43	marker44	marker45	marker46	marker47	marker48	marker49	marker50	marker51	marker52	marker53	marker54	marker55	marker56	marker57	marker58	marker59	marker60	marker61	marker62	marker63	marker64	marker65	marker66	marker67	marker68	marker69	marker70	marker71	marker72	marker73	marker74	marker75	marker76	marker77	marker78	marker79	marker80	marker81	marker82	marker83	marker84	marker85	marker86	marker87	marker88	marker89	marker90	marker91	marker92	marker93	marker94	marker95	marker96	marker97	marker98	marker99	marker100	marker101	marker102	marker103	marker104	marker105	marker106	marker107	marker108	marker109	marker110	marker111	marker112	marker113	marker114	marker115	marker116	marker117	marker118	marker119	marker120	marker121	marker122	marker123	marker124	marker125	marker126	marker127	marker128	marker129	marker130	marker131	marker132	marker133	marker134	marker135	marker136	marker137	marker138	marker139	marker140	marker141	marker142	marker143	marker144	marker145	marker146	marker147	marker148	marker149	marker150	marker151	marker152	marker153	marker154	marker155	marker156	marker157	marker158	marker159	marker160	marker161	marker162	marker163	marker164	marker165	marker166	marker167	marker168	marker169	marker170	marker171	marker172	marker173	marker174	marker175	marker176	marker177	marker178	marker179	marker180	marker181	marker182	marker183	marker184	marker185	marker186	marker187	marker188	marker189	marker190	marker191	marker192	marker193	marker194	marker195	marker196	marker197	marker198	marker199	marker200	marker201	marker202	marker203	marker204	marker205	marker206	marker207	marker208	marker209	marker210	marker211	marker212	marker213	marker214	marker215	marker216	marker217	marker218	marker219	marker220	marker221	marker222	marker223	marker224	marker225	marker226	marker227	marker228	marker229	marker230	marker231	marker232	marker233	marker234	marker235	marker236	marker237	marker238	marker239	marker240	marker241	marker242	marker243	marker244	marker245	marker246	marker247	marker248	marker249	marker250	marker251	marker252	marker253	marker254	marker255	marker256	marker257	marker258	marker259	marker260	marker261	marker262	marker263	marker264	marker265	marker266	marker267	marker268	marker269	marker270	marker271	marker272	marker273	marker274	marker275	marker276	marker277	marker278	marker279	marker280	marker281	marker282	marker283	marker284	marker285	marker286	marker287	marker288	marker289	marker290	
Macaca silenus												AB296225									HM764753											HM762943						AY224264	AF284288		HM759582				AM492834			HM762304																		HM759472										HM758161				HM760858		HM757663																		HM765353			HM759042	HM757491			HM762607		HM763370							HM760175							HM756954																AF284237																					AF353065	HM761287	HM758764				HM758867		HM765113																									HM759207	HM758563	HM765003			HM764586				HM763934			HM761868			HM758388								HM764256															HM762721						HM764481	HM761394									HM757191	AY224308		HM759996	HM757317	HM761604	AY224363		HM763198	HM759837	HM758045	HM756779	HM760355		HM760956	HM757800	HM764156	HM757053							HM760467		HM761710	HM762033				HM763581													
Macaca tonkeana												AB296219									HM764756											HM762947						AY224269	AF284286		HM759585				AY206519																					HM759476										HM758164				HM760861		HM757666																		HM765357			HM759044	HM757494			HM762611									HM760179			HM761099	HM762369			HM756956																AF284235																				HM760701	HM071487	HM761290	HM758768				HM758870		HM765116																									HM759210	HM758566	HM765007			HM764589				HM763937			HM761871			HM758392								HM764259															HM762724			HM763796			HM764485	HM761397									HM071251	AY224316		HM760000	HM757320	HM761608	AY224371		HM763201		HM758047	HM756782	HM760359		HM760959	HM757803	HM764169	HM757056							HM760470		HM761713	HM762036				HM763584													
Macaca assamensis												AB296196																										AY224245	AF284295																																																																																																				AF284244																					AF353034																																																																																								AY224274					AY224328																																						
Callicebus donacophilus													HM764112	HM765289												HM760559																						HM762211																		HM759399			HM759924		HM761804				HM761533																												HM759135	HM757589			HM762536				HM756870																																																HM760634							HM758967		HM765211																	HM762130							HM763297	HM759315	HM758480	HM764932							HM764029					HM763035	HM758323								HM764351											HM759761				HM762804										HM760108	HM757151	HM760284						HM758685																																										
Callicebus personatus													HM764207	HM765298												HM760562																						HM762187																		HM759408			HM759933		HM761807				HM761542																										AY219646		HM759138	HM757592			HM762544				HM756930																																																HM760643							HM758970		HM765214																	HM762133							HM763300	HM759321	HM758591	HM764941							HM764032					HM763038	HM758332					AF032062			HM764354											HM759885				HM762807		AF032063								HM760116	HM757153	HM760293						HM758698																																										
Callicebus cupreus													HM764111	HM765286												HM760558																						HM762289																		HM759396			HM759921		HM761803				HM761530																													HM757588			HM762533				HM756869																																																HM760633							HM758966		HM765210																	HM762129							HM763296	HM759314		HM764929							HM764028					HM763034	HM758320								HM764350											HM759825				HM762803										HM760105	HM757150	HM760281						HM758682																																										
Callicebus moloch													HM764202	HM765300												HM760560																						HM762182																		HM759410			HM759935		HM761805				HM761544																										AY219645		HM759136	HM757590			HM762546				HM756871																																																HM760645							HM758968		HM765212																	HM762131							HM763298	HM759316	HM758570	HM764943							HM764030					HM763036	HM758334					AF069325			HM764352											HM759770				HM762805		AF069326								HM760118	HM757152	HM760295						HM758700																																										
Callicebus caligatus													HM764114	HM765282												HM760556																						HM762201																		HM759393			HM759917						HM761526																												HM759133	HM757586			HM762529				HM756868																																																HM760630							HM758965		HM765208																	HM762127							HM763294	HM759311	HM758479	HM764925							HM764027						HM758317																			HM759766				HM762801										HM760101	HM757148	HM760277						HM758677																																										
Cebus olivaceus														HM765303					FJ529107		HM764829																											HM762259																	HM762109	HM759415			HM759939					HM763446								HM757736																					HM759117	HM757570			HM762551				HM756851					HM760123																																					JN400581						HM760648						AF032017	HM758947		HM765192													AF028505	HM763277											HM759292	HM758494	HM764948			HM764660				HM764009			HM761939		HM763050	HM758336																							HM762782													HM759659	HM764117				HM758707																	AF028481																	HM762444	HM760536	HM760299						
Cebus capucinus														HM765285					FJ529110		HM764828																											HM762288																	HM762108				HM759920				HM757249	HM763445								HM757735																						HM757569			HM762532				HM756850					HM760104																																					JN400572						HM760632							HM758946		HM765191													AF028504	HM763276											HM759291	HM758493	HM764928			HM764659				HM764008			HM761938		HM763049																								HM762781													HM759658	HM764116				HM758681																	AF028480																	HM762443	HM760535	HM760280						
Aotus azarai														HM765269	HM764102				DQ098866				HM758212	HM759902	HM759378	HM760525	HM756838	HM757114	HM762092										AF338375		HM759641							HM762324											HM760262	HM760086	HM763261	HM762427									HM761768			HM763429								HM757720																					HM759102	HM757554			HM762517								HM759836																																												HM760614		HM761193					HM758930		HM765175																									HM759273	HM758463	HM764909			HM764645							HM761925			HM758303								HM764317										HM763722					HM762765																		HM758656											HM757379																															
Cebus apella														HM765278					FJ529103		HM764827																											HM762284																	HM762107	HM759389			HM759913				HM757248	HM763444								HM757734																					HM759116	HM757568			HM762524				HM756849					HM760097																																					AF069965						HM760625						AF031890	HM758945		HM765190													AF028506	HM763275											HM759290	HM758492	HM764920			HM764658				HM764007			HM761937		HM763048	HM758313																							HM762780													HM759657	HM764118				HM758673																	AF028482																	HM762442	HM760534	HM760273						
Aotus azarai infulatus														HM765414	HM764188				HQ005494				HM758214	HM760059	HM759535	HM760526	HM756917	HM757115	HM762094										AF338376	DQ098868	HM759644							HM762181											HM760421	HM760239	HM763263	HM762429									HM761770			HM763431								HM757722																					HM759101	HM757555			HM762674								HM759775																																												HM760759		HM761207					HM758932		HM765177																									HM759274	HM758476	HM765068	HQ005475		HM764646							HM761927			HM758450								HM764319										HM763724					HM762766																		HM758660											HM757380					HQ005476																										
Aotus nancymaae														HM765264	HM764104				HQ005507				HM758216	HM759896	HM759372	HM760529	HM756840	HM757118	HM762096											HQ005508	HM759646							HM762207											HM760256	HM760080	HM763265	HM762431									HM761772			HM763433								HM757724																					HM759105	HM757558			HM762511								HM759729																																												HM760608		HM761195					HM758934		HM765179																									HM759278	HM758465	HM764903			HM764648							HM761929			HM758297								HM764321										HM763726					HM762768																		HM758650											HM757383					HQ005488																										
Cebus albifrons														HM765415					FJ529109		HM764826																											HM762192																	HM762106	HM759536			HM760060				HM757247	HM763443								HM757733																					HM759115	HM757567			HM762675				HM756913					HM760240																																					JN400564						HM760760						AF032020	HM758944		HM765189													AF028503	JN633189											HM759289	HM758491	HM765069			HM764657				HM764006			HM761936		HM763047	HM758451																							HM762779													HM759656	JN633037				HM758686																	AF028479																	HM762441	HM760533	HM760422						
Aotus trivirgatus														AY190768	HM764105				DQ098874				HM758217	HM759901	HM759377	HM760530	HM756841	HM757119	HM762097										HQ018926	DQ098873	HM759647							HM762245											HM760261	HM760085	HM763266	HM762432									HM761773			HM763434								HM757725																					HM759106	HM757559			HM762516								HM759819																																												HM760613		HM761196					HM758935		HM765180																									HM759279	HM758466	HM764908	HQ005481		HM764649							HM761930			HM758302								HM764322										HM763727					HM762770																		HM758655											HM757384					HQ005479																										
Colobus angolensis																			AF295583																									EU185724																																								JQ857051																																																																										GQ334700																															EU580047								DQ399701																																										JQ272223																									DQ520718																											
Colobus guereza																			U38264																									EU185723																																								JQ857063																																																																										DQ494872																															EU580050								DQ399696																																										JQ272224																									HM757038																											
Aotus vociferans																			HQ005502																				HQ018928																																																																																																																																																													HQ005483																																																																					HQ005482																										
Alouatta guariba																			DQ679784																																																																																																																	AY065861																																																																																																																																																															
Aotus nigriceps																			HQ005497																				HQ018925	HQ005498																																																																																																																																																												HQ005477																																																																					HQ005478																										
Alouatta pigra																			AY065885																																																																																				AY065909																													DQ875639																																																																														AY205136																																																																																	
Saimiri oerstedii																			EU232702																																																																																																																																																																																																																																																																																
Aotus lemurinus																			HQ005506																				HQ018927																																																																																																																																																																																																																																		HQ005486																										
Colobus polykomos																			AF020411																									AY972692																																								JQ857067																																																																										GQ334699																															EU580053								DQ399703																																										JQ272225																									HM757039																											
Macaca thibetana																					HM764755											HM762946						AY224267	AF284327		HM759584				AM492841			HM762309																		HM759475										HM758163				HM760860		HM757665																		HM765356				HM757493			HM762610		HM763372							HM760178				HM762368																			AF284276																						HM761289	HM758767				HM758869		HM765115																									HM759209	HM758565	HM765006			HM764588				HM763936			HM761870			HM758391								HM764258															HM762723			HM763795			HM764484	HM761396										AY224314		HM759999	HM757319	HM761607	AY224369		HM763200	HM759840		HM756781	HM760358		HM760958	HM757802	HM764160	HM757055							HM760469		HM761712	HM762035				HM763583													
Callicebus brunneus																										HM760555																																													HM761801				HM761524																										AY219643		HM759132				HM762527																																																				HM760628							HM758964		HM765207																									HM759310		HM764923							HM764026																													HM762800																																																												
Saguinus leucopus																																			EU497286																																																																																																																																																																																																																																																					JF489224											
Trachypithecus phayrei																																							EU004464																																																																																																																																																																																																																								HM763225																																				
Trachypithecus obscurus																																							JF293191																																																																																																																																																																																																																								HM763224																																				
Trachypithecus vetulus																																							EU004461																																																																																																																																																																																																																																																												
Trachypithecus francoisi																																							EU004467																																																																																																																																																																																																																								HM763222																																				
Chlorocebus aethiops																																							AY048070						L35185																																																																																														AY048060																																																																																																																																												AY450893												
Trachypithecus auratus																																							EU004468																																																																																																																																																																																																																								HM763220																																				
Cercopithecus mitis																																							AY048069						L35197																																																																																														AY048057																																																																																																																																												AY450901												
Cercopithecus ascanius																																							EF517798						L35202																																																																																														EF517804																																																																																																																																												AY450895												
Cercopithecus neglectus																																							AY450886						L35182																																																																																														AY450877																																																																																																																																												AY450903												
Cercopithecus petaurista																																							AY897617						AF164879																																																																																														AY897616																																																																																																																																																								
Cercopithecus pogonias																																							AY665640																																																																																																				AY048059																																																																																																																																																								
Cercopithecus lhoesti																																							AY048068						AF394271																																																																																														AY048056																																																																																																																																												AY450900												
Cercopithecus diana																																							AY450890																																																																																																				AY195580																																																																																																																																												AY450897												
Trachypithecus johnii																																							EU004460																																																																																																																																																																																																																																																												
Trachypithecus cristatus																																							AF284283																																																																																																																																																																																																																								FJ648387																																				
Erythrocebus patas																																							AY048072						AY665621																																																																																														AY048062																																																																																																																																												AY450907												
Cercopithecus solatus																																							AY450888						AF394270																																																																																														AY450879																																																																																																																																												AY450905												
Cercopithecus preussi																																							EF517796						AF394272																																																																																														EF517802																																																																																																																																																								
Trachypithecus pileatus																																							EU004462																																																																																																																																																																																																																																																												
Cercopithecus wolfi																																							AY450889						AY665620																																																																																														AY450880																																																																																																																																												AY450906												
Cercopithecus hamlyni																																							AY450884						AF164881																																																																																														AY450875																																																																																																																																												AY450898												
Cercopithecus nictitans																																							AY450887						L35199																																																																																														AY450878																																																																																																																																												AY450904												
Cercopithecus mona																																							AF284332						L35198																																																																																														AF284281																																																																																																																																												AY450902												
Cercopithecus erythrotis																																													AF394269																																																																																																																																																																																																																																																						
Callicebus torquatus																																																																																																					AY219644																																																																																																																AF032068																				AF032069																																																										
Callicebus hoffmannsi																																																																																																																																																																																																																					AF032065																				AF032066																																																										
Galagoides zanzibaricus																																																																																																																																																																																																																															AF212944																																																																				
Galago moholi																																																																																																																																																																																																																															AF212951																																																																				
Euoticus elegantulus																																																																																																																																																																																																																															AY897397																																																																				
Otolemur garnettii																																																																																																																																																																																																																															AF212948																																																																				
Galago senegalensis																																																																																																																																																																																																																															AF212949																																																																				
Otolemur crassicaudatus																																																																																																																																																																																																																															AF212947																																																																				
Galago alleni																																																																																																																																																																																																																															AF212946																																																																				
Galagoides demidoff																																																																																																																																																																																																																															AF212945																																																																				
Cercopithecus cephus																																																																																																																																																																																																																																																																																							AY450896												
Saguinus inustus																																																																																																																																																																																																																																																																																								JF489223											

# marker1 cluster seed: HM760215, description: Saguinus geoffroyi isolate SGE-3 NPAS3 gene, partial sequence.
# marker2 cluster seed: HM762120, description: Saguinus midas midas isolate SMI-4 FAM123B gene, partial sequence.
# marker3 cluster seed: JN103732, description: Trachypithecus johnii chromosome X marker marker X45 genomic sequence.
# marker4 cluster seed: HM756883, description: Avahi laniger isolate ALN-1 ZIC3 gene, partial sequence.
# marker5 cluster seed: AF032036, description: Leontopithecus chrysopygus beta-2-microglobulin precursor, gene, exons 2 and 3 and complete cds.
# marker6 cluster seed: AB675927, description: Tarsius bancanus M/LWS opsin gene for middle wave sensitive (M) opsin, partial cds.
# marker7 cluster seed: HM762151, description: Eulemur macaco isolate EMC-1 FAM123B gene, partial sequence.
# marker8 cluster seed: HM761497, description: Alouatta belzebul isolate ABE-1 FOXP1 gene, partial sequence.
# marker9 cluster seed: AY686135, description: Cercocebus torquatus atys isolate G078 cytochrome oxidase subunit II (COII) gene, partial cds; mitochondrial.
# marker10 cluster seed: EU680968, description: Nycticebus bengalensis 12S ribosomal RNA gene, complete sequence; mitochondrial.
# marker11 cluster seed: HM765392, description: Saguinus geoffroyi isolate SGE-3 ABCA1 gene, partial sequence.
# marker12 cluster seed: AY205119, description: Callithrix geoffroyi isolate 27 melanocortin-1 receptor (MC1R) gene, complete cds.
# marker13 cluster seed: HM764141, description: Cercopithecus lhoesti isolate CIH-1 BCHE gene, partial sequence.
# marker14 cluster seed: HM765267, description: Alouatta palliata isolate APL-1 ABCA1 gene, partial sequence.
# marker15 cluster seed: HM764188, description: Aotus azarai infulatus isolate AZI-1 BCHE gene, partial sequence.
# marker16 cluster seed: HM758649, description: Avahi laniger isolate ALN-1 RPGRIP1 gene, partial sequence.
# marker17 cluster seed: HM764300, description: Lagothrix cana isolate LAC-2 AXIN1 gene, partial sequence.
# marker18 cluster seed: HM759815, description: Propithecus diadema isolate PDI-2 PLCB4 gene, partial sequence.
# marker19 cluster seed: HQ859434, description: Colobus angolensis isolate 120 tRNA-Glu gene, partial sequence; cytochrome b (CYTB) gene, complete cds; tRNA-Thr and tRNA-Pro genes, complete sequence; and D-loop, partial sequence; mitochondrial.
# marker20 cluster seed: EU057379, description: Eulemur macaco macaco zinc finger protein 202-like gene, partial sequence.
# marker21 cluster seed: JX017490, description: Microcebus bongolavensis AF4/FMR2 family member 2 gene, partial cds.
# marker22 cluster seed: HM759679, description: Tarsius bancanus isolate TBA-1 PNOC gene, partial sequence.
# marker23 cluster seed: HM758213, description: Aotus azarai boliviensis isolate AZB-1 KDM5C gene, partial sequence.
# marker24 cluster seed: HM759903, description: Aotus azarai boliviensis isolate AZB-1 NPAS3.2 gene, partial sequence.
# marker25 cluster seed: HM759370, description: Aotus lemurinus griseimembra isolate ALM-1 POLA1 gene, partial sequence.
# marker26 cluster seed: HM760479, description: Presbytis comata isolate PCM-1 MBD5 gene, partial sequence.
# marker27 cluster seed: HM756839, description: Aotus lemurinus griseimembra isolate ALM-1 ZIC3 gene, partial sequence.
# marker28 cluster seed: HM757117, description: Aotus lemurinus griseimembra isolate ALM-1 ZFX gene, partial sequence.
# marker29 cluster seed: HM762095, description: Aotus lemurinus griseimembra isolate ALM-1 FAM123B gene, partial sequence.
# marker30 cluster seed: HM757124, description: Ateles belzebuth hybridus isolate AHY-1 ZFX gene, partial sequence.
# marker31 cluster seed: HM758405, description: Propithecus edwardsi isolate PED-1 SIM1 gene, partial sequence.
# marker32 cluster seed: HM762922, description: Lepilemur ankaranensis isolate LAN-1 DACH1 gene, partial sequence.
# marker33 cluster seed: JX856226, description: Eulemur macaco interphotoreceptor retinoid binding protein (IRBP) gene, exon 1 and partial cds.
# marker34 cluster seed: HM761670, description: Eulemur fulvus sanfordi isolate EFL-16 FOXP1 gene, partial sequence.
# marker35 cluster seed: AB050181, description: Hylobates klossii mitochondrial genes for 12S rRNA, tRNA-Val, 16S rRNA, partial and complete sequence, isolate: #149.
# marker36 cluster seed: AF183665, description: Trachypithecus phayrei tyrosinase gene, exon 2.
# marker37 cluster seed: AJ430043, description: Hapalemur griseus alaotrensis mitochondrial partial cytb gene for cytochrome b.
# marker38 cluster seed: AY224249, description: Macaca hecki #1 12S ribosomal RNA gene, partial sequence; tRNA-Val gene, complete sequence; and 16S ribosomal RNA gene, partial sequence; mitochondrial genes for mitochondrial products.
# marker39 cluster seed: AF338386, description: Cebus apella apella SRY (SRY) gene, partial cds.
# marker40 cluster seed: EU232710, description: Saimiri sciureus collinsi isolate ATAID cytochrome b gene, complete cds; mitochondrial.
# marker41 cluster seed: HM759562, description: Cercopithecus wolfi wolfi isolate CWW-1 PNOC gene, partial sequence.
# marker42 cluster seed: AF352257, description: Aotus nigriceps clone 719 cytochrome c oxidase subunit II (COII) gene, complete cds; mitochondrial gene for mitochondrial product.
# marker43 cluster seed: HM763218, description: Semnopithecus hector isolate SHE-1 CNR1 gene, partial sequence.
# marker44 cluster seed: GU068063, description: Rungwecebus kipunji voucher SHCP:2458 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial.
# marker45 cluster seed: AF384000, description: Macaca maura x tonkeana isolate WF080 12S ribosomal RNA gene, partial sequence; mitochondrial gene for mitochondrial product.
# marker46 cluster seed: HM765244, description: Arctocebus calabarensis isolate ACL-1 ADORA3 gene, partial sequence.
# marker47 cluster seed: JF938372, description: Aotus sp. MAS-2011 isolate 93 integrin alpha 4 (ITGA4) gene, exon 5 and partial cds.
# marker48 cluster seed: HM762197, description: Eulemur macaco flavifrons isolate EMC-5 ERC2 gene, partial sequence.
# marker49 cluster seed: FJ648373, description: Tarsius spectrum BMI1 (BMI1) gene, 3' UTR.
# marker50 cluster seed: JN103964, description: Trachypithecus vetulus chromosome 7 marker ENC5 genomic sequence.
# marker51 cluster seed: EU342261, description: Mirza coquereli fibrinogen alpha polypeptide isoform alpha-E (FGA) gene, partial sequence.
# marker52 cluster seed: HM758638, description: Varecia variegata variegata isolate VVA-2 SGMS1 gene, partial sequence.
# marker53 cluster seed: HM764801, description: Callithrix argentata argentata isolate CAR-1 AFF2.2 gene, partial sequence.
# marker54 cluster seed: HM758981, description: Propithecus edwardsi isolate PED-1 RAG2 gene, partial sequence.
# marker55 cluster seed: HM758089, description: Alouatta belzebul isolate ABE-1 KDM5D gene, partial sequence.
# marker56 cluster seed: HM762426, description: Alouatta sara isolate ASA-1 EDG1 gene, partial sequence.
# marker57 cluster seed: HM757854, description: Alouatta belzebul isolate ABE-1 TEX2 gene, partial sequence.
# marker58 cluster seed: HM759886, description: Alouatta belzebul isolate ABE-1 NPAS3.2 gene, partial sequence.
# marker59 cluster seed: HM760283, description: Cercopithecus diana isolate CDA-3 NEGR1 gene, partial sequence.
# marker60 cluster seed: HM760078, description: Aotus lemurinus griseimembra isolate ALM-1 NPAS3 gene, partial sequence.
# marker61 cluster seed: HM763264, description: Aotus lemurinus griseimembra isolate ALM-1 CNR1 gene, partial sequence.
# marker62 cluster seed: HM762430, description: Aotus lemurinus griseimembra isolate ALM-1 EDG1 gene, partial sequence.
# marker63 cluster seed: JN701018, description: Cercocebus atys isolate FVz chemokine receptor CCR2b mRNA, complete cds.
# marker64 cluster seed: HM762855, description: Ateles belzebuth hybridus isolate AHY-1 DACH1 gene, partial sequence.
# marker65 cluster seed: HM762108, description: Cebus capucinus isolate CCP-3 FAM123B gene, partial sequence.
# marker66 cluster seed: HM759416, description: Callithrix penicillata isolate CPE-10 POLA1 gene, partial sequence.
# marker67 cluster seed: EU057230, description: Eulemur fulvus fulvus cystic fibrosis transmembrane conductance (CFTR) gene, partial sequence.
# marker68 cluster seed: EU057335, description: Otolemur garnettii garnettii leucine-rich PPR motif-containing protein gene, partial sequence.
# marker69 cluster seed: HM759993, description: Macaca ochreata isolate MOC-1 NPAS3.2 gene, partial sequence.
# marker70 cluster seed: EU057490, description: Eulemur fulvus collaris clone EFC395, genomic sequence.
# marker71 cluster seed: HM761809, description: Tarsius bancanus isolate TBA-1 FES gene, partial sequence.
# marker72 cluster seed: HM759686, description: Propithecus edwardsi isolate PED-1 PNOC gene, partial sequence.
# marker73 cluster seed: HM757249, description: Cebus capucinus isolate CCP-3 UTY gene, partial sequence.
# marker74 cluster seed: HM763446, description: Cebus olivaceus isolate COV-1 CHRNA1 gene, partial sequence.
# marker75 cluster seed: HM761642, description: Saguinus geoffroyi isolate SGE-3 FOXP1 gene, partial sequence.
# marker76 cluster seed: HM758130, description: Cercocebus chrysogaster isolate CCY-1 KDM5C gene, partial sequence.
# marker77 cluster seed: EU057352, description: Eulemur rubriventer leucine-rich PPR motif-containing protein gene gene, partial sequence.
# marker78 cluster seed: AY434045, description: Eulemur rubriventer von Willebrand factor (vWF) gene, intron 11.
# marker79 cluster seed: HM760570, description: Mirza coquereli isolate MCE-1 MBD5 gene, partial sequence.
# marker80 cluster seed: HM760870, description: Nomascus siki isolate NSI-1 LUC7L gene, partial sequence.
# marker81 cluster seed: AJ270651, description: Lepilemur septentrionalis mitochondrial partial 12S rRNA gene (397bp).
# marker82 cluster seed: EU342338, description: Varecia variegata variegata thyroxine-binding prealbumin (TTR) gene, intron 1.
# marker83 cluster seed: HM760245, description: Lepilemur ruficaudatus isolate LER-1 NPAS3 gene, partial sequence.
# marker84 cluster seed: JQ857067, description: Colobus polykomos isolate CP004B01 ABO gene, exon 7 and partial cds.
# marker85 cluster seed: HM757900, description: Propithecus diadema isolate PDI-2 TEX2 gene, partial sequence.
# marker86 cluster seed: HM760192, description: Propithecus diadema isolate PDI-2 NPAS3 gene, partial sequence.
# marker87 cluster seed: AF172210, description: Pygathrix avunculus chemokine receptor CXCR4 (CXCR4) gene, exon 2 and partial cds.
# marker88 cluster seed: HM758058, description: Rhinopithecus brelichi isolate RBR-1 KDM5D gene, partial sequence.
# marker89 cluster seed: HM762476, description: Propithecus verreauxi isolate PVE-1 EDG1 gene, partial sequence.
# marker90 cluster seed: HQ285853, description: Mandrillus leucophaeus Duffy antigen/chemokine receptor (DARC) gene, complete cds.
# marker91 cluster seed: HM761673, description: Lepilemur ruficaudatus isolate LER-1 FOXP1 gene, partial sequence.
# marker92 cluster seed: AJ007781, description: Lepilemur ruficaudatus cytb gene, partial.
# marker93 cluster seed: HM760068, description: Lepilemur ruficaudatus isolate LER-1 NPAS3.2 gene, partial sequence.
# marker94 cluster seed: HM763012, description: Lepilemur ruficaudatus isolate LER-1 DACH1 gene, partial sequence.
# marker95 cluster seed: HM763077, description: Eulemur fulvus albifrons isolate EFL-7 CREM gene, partial sequence.
# marker96 cluster seed: HM757423, description: Propithecus diadema isolate PDI-2 USH2A gene, partial sequence.
# marker97 cluster seed: HM760029, description: Propithecus verreauxi isolate PVE-1 NPAS3.2 gene, partial sequence.
# marker98 cluster seed: HM762819, description: Propithecus edwardsi isolate PED-1 DCTN2 gene, partial sequence.
# marker99 cluster seed: JN104015, description: Rhinopithecus bieti chromosome 21 marker ENC35 genomic sequence.
# marker100 cluster seed: HM765352, description: Macaca siberu isolate MSE-1 ABCA1 gene, partial sequence.
# marker101 cluster seed: AF045546, description: Eulemur fulvus alpha(1,2)fucosyltransferase (FUTH) gene, complete cds.
# marker102 cluster seed: AY894790, description: Megaladapis sp. UA5482 cytochrome b gene, partial cds; mitochondrial.
# marker103 cluster seed: JQ073175, description: Lepilemur edwardsi voucher CO005 recombination activating protein 1 (Rag1) gene, partial cds.
# marker104 cluster seed: HM757514, description: Trachypithecus delacouri isolate TDE-1 TYR gene, partial sequence.
# marker105 cluster seed: AF224620, description: Allocebus trichotis cytochrome oxidase subunit III (COIII) gene, partial cds; tRNA-Gly gene, complete sequence; NADH dehydrogenase subunit 3 (ND3) gene, complete cds; tRNA-Arg gene, complete sequence; NADH dehydrogenase subunit 4L (ND4L) and NADH dehydrogenase subunit 4 (ND4) genes, complete cds; tRNA-His and tRNA-Ser genes, complete sequence; and tRNA-Leu gene, partial sequence; mitochondrial genes for mitochondrial products.
# marker106 cluster seed: HQ285856, description: Saimiri ustus Duffy antigen/chemokine receptor (DARC) gene, complete cds.
# marker107 cluster seed: HM762624, description: Propithecus diadema isolate PDI-2 DMRT1 gene, partial sequence.
# marker108 cluster seed: AF175818, description: Eulemur rubriventer isolate Lrubf1ck casein kinase II beta subunit gene, intron sequence.
# marker109 cluster seed: HM763364, description: Macaca maura isolate MCA-1 CHRNA1 gene, partial sequence.
# marker110 cluster seed: HM759723, description: Alouatta palliata isolate APL-1 PLCB4 gene, partial sequence.
# marker111 cluster seed: HM756883, description: Avahi laniger isolate ALN-1 ZIC3 gene, partial sequence.
# marker112 cluster seed: HM761182, description: Lepilemur dorsalis isolate LDO-1 LRPPRC_169 gene, partial sequence.
# marker113 cluster seed: HM757217, description: Hylobates muelleri isolate HMU-6 UTY gene, partial sequence.
# marker114 cluster seed: HM763986, description: Callithrix penicillata isolate CPE-10 BCOR gene, partial sequence.
# marker115 cluster seed: HM759790, description: Cebus albifrons isolate CEA-1 PLCB4 gene, partial sequence.
# marker116 cluster seed: HM760146, description: Hylobates muelleri isolate HMU-6 NPAS3 gene, partial sequence.
# marker117 cluster seed: HM757100, description: Callithrix argentata argentata isolate CAR-1 ZFX gene, partial sequence.
# marker118 cluster seed: HM762066, description: Hylobates muelleri isolate HMU-6 FAM123B gene, partial sequence.
# marker119 cluster seed: HM761086, description: Lophocebus aterrimus isolate LAT-2 LRPPRC_169 gene, partial sequence.
# marker120 cluster seed: HM762366, description: Macaca siberu isolate MSE-1 EDG1 gene, partial sequence.
# marker121 cluster seed: HM757871, description: Cebus capucinus isolate CCP-3 TEX2 gene, partial sequence.
# marker122 cluster seed: HM763556, description: Hapalemur griseus isolate HGR-1 CFTR gene, partial sequence.
# marker123 cluster seed: HM756936, description: Cercopithecus diana isolate CDA-3 ZFY gene, partial sequence.
# marker124 cluster seed: HM760844, description: Lepilemur dorsalis isolate LDO-1 LUC7L gene, partial sequence.
# marker125 cluster seed: JN103772, description: Trachypithecus johnii chromosome X marker marker X65 genomic sequence.
# marker126 cluster seed: JN103551, description: Trachypithecus germaini chromosome 5 marker chr5-6 genomic sequence.
# marker127 cluster seed: JN103938, description: Trachypithecus shortridgei chromosome 20 marker chr20-5 genomic sequence.
# marker128 cluster seed: JN103574, description: Trachypithecus germaini chromosome 6 marker chr6-5 genomic sequence.
# marker129 cluster seed: JN103884, description: Rhinopithecus avunculus chromosome 18 marker chr18-4 genomic sequence.
# marker130 cluster seed: JN103978, description: Trachypithecus shortridgei chromosome 14 marker ENC14 genomic sequence.
