name	species	genus	family	order	class	phylum	kingdom
Coffea mcphersonii	339921	13442	24966	4055		35493	33090
Coffea millotii	49374	13442	24966	4055		35493	33090
Coffea mongensis	339922	13442	24966	4055		35493	33090
Coffea montekupensis	339923	13442	24966	4055		35493	33090
Coffea montis-sacri	339924	13442	24966	4055		35493	33090
Coffea moratii	339925	13442	24966	4055		35493	33090
Coffea mufindiensis	339926	13442	24966	4055		35493	33090
Coffea myrtifolia	339927	13442	24966	4055		35493	33090
Coffea perrieri	49375	13442	24966	4055		35493	33090
Coffea pervilleana	339928	13442	24966	4055		35493	33090
Coffea pocsii	339930	13442	24966	4055		35493	33090
Coffea pseudozanguebariae	49376	13442	24966	4055		35493	33090
Coffea racemosa	49377	13442	24966	4055		35493	33090
Coffea rakotonasoloi	339931	13442	24966	4055		35493	33090
Coffea ratsimamangae	339932	13442	24966	4055		35493	33090
Coffea resinosa	49378	13442	24966	4055		35493	33090
Coffea rhamnifolia	339933	13442	24966	4055		35493	33090
Coffea richardii	339934	13442	24966	4055		35493	33090
Coffea sahafaryensis	339935	13442	24966	4055		35493	33090
Coffea sakarahae	49379	13442	24966	4055		35493	33090
Coffea salvatrix	49380	13442	24966	4055		35493	33090
Coffea sambavensis	339936	13442	24966	4055		35493	33090
Coffea schliebenii	339937	13442	24966	4055		35493	33090
Coffea sessiliflora	49381	13442	24966	4055		35493	33090
Coffea stenophylla	49383	13442	24966	4055		35493	33090
Coffea tetragona	339938	13442	24966	4055		35493	33090
Coffea togoensis	339939	13442	24966	4055		35493	33090
Coffea tsirananae	339940	13442	24966	4055		35493	33090
Coffea vatovavyensis	339942	13442	24966	4055		35493	33090
Coffea vianneyi	339941	13442	24966	4055		35493	33090
Coffea zanguebariae	213305	13442	24966	4055		35493	33090
Colleteria seminervis	768880	768879	24966	4055		35493	33090
Colletoecema dewevrei	110689	110688	24966	4055		35493	33090
Colletoecema magna	564788	110688	24966	4055		35493	33090
Comastoma cyananthiflorum	50753	50752	21472	4055		35493	33090
Comastoma falcatum	149051	50752	21472	4055		35493	33090
Comastoma malyschevii	149052	50752	21472	4055		35493	33090
Comastoma pedunculatum	156519	50752	21472	4055		35493	33090
Comastoma pulmonarium	50754	50752	21472	4055		35493	33090
Comastoma stellariifolium	149053	50752	21472	4055		35493	33090
Comastoma tenellum	149054	50752	21472	4055		35493	33090
Comastoma traillianum	166601	50752	21472	4055		35493	33090
Commitheca liebrechtsiana	83578	83577	24966	4055		35493	33090
Condaminea corymbosa	60042	60041	24966	4055		35493	33090
Condylocarpon amazonicum	141551	141550	4056	4055		35493	33090
Condylocarpon guyanense	396314	141550	4056	4055		35493	33090
Condylocarpon isthmicum	403104	141550	4056	4055		35493	33090
Conomitra linearis	235998	235997	4056	4055		35493	33090
Conostomium longitubum	257027	58428	24966	4055		35493	33090
Conostomium natalense	60358	58428	24966	4055		35493	33090
Conostomium quadrangulare	58429	58428	24966	4055		35493	33090
Conostomium zoutpansbergense	497225	58428	24966	4055		35493	33090
Coprosma acerosa	225357	35905	24966	4055		35493	33090
Coprosma acutifolia	453344	35905	24966	4055		35493	33090
Coprosma antipoda	158856	35905	24966	4055		35493	33090
Coprosma arborea	476443	35905	24966	4055		35493	33090
Coprosma baueri	453345	35905	24966	4055		35493	33090
Coprosma brunnea	225358	35905	24966	4055		35493	33090
Coprosma chathamica	450830	35905	24966	4055		35493	33090
Coprosma cheesemanii	701457	35905	24966	4055		35493	33090
Coprosma crassifolia	158858	35905	24966	4055		35493	33090
Coprosma crenulata	225566	35905	24966	4055		35493	33090
Coprosma elatirioides	225356	35905	24966	4055		35493	33090
Coprosma ernodeoides	35906	35905	24966	4055		35493	33090
Coprosma fauriei	158859	35905	24966	4055		35493	33090
Coprosma grandifolia	651543	35905	24966	4055		35493	33090
Coprosma intertexta	225567	35905	24966	4055		35493	33090
Coprosma linariifolia	651544	35905	24966	4055		35493	33090
Coprosma lucida	651545	35905	24966	4055		35493	33090
Coprosma macrocarpa	476444	35905	24966	4055		35493	33090
Coprosma montana	35907	35905	24966	4055		35493	33090
Coprosma nadeandii	385389	35905	24966	4055		35493	33090
Coprosma nivalis	225568	35905	24966	4055		35493	33090
Coprosma persicifolia	158860	35905	24966	4055		35493	33090
Coprosma petiolata	450831	35905	24966	4055		35493	33090
Coprosma petriei	225569	35905	24966	4055		35493	33090
Coprosma pilosa	453346	35905	24966	4055		35493	33090
Coprosma propinqua	450832	35905	24966	4055		35493	33090
Coprosma pumila	58497	35905	24966	4055		35493	33090
Coprosma quadrifida	158861	35905	24966	4055		35493	33090
Coprosma repens	450833	35905	24966	4055		35493	33090
Coprosma robusta	60359	35905	24966	4055		35493	33090
Coprosma rugosa	225570	35905	24966	4055		35493	33090
Coprosma tenuifolia	384984	35905	24966	4055		35493	33090
Coprosma waimeae	158862	35905	24966	4055		35493	33090
Coptosapelta diffusa	83580	83579	24966	4055		35493	33090
Coptosapelta flavescens	86988	83579	24966	4055		35493	33090
Coptosapelta montana	484840	83579	24966	4055		35493	33090
Coptosapelta tomentosa	484841	83579	24966	4055		35493	33090
Coptosperma borbonicum	128373	58440	24966	4055		35493	33090
Coptosperma neurophyllum	58441	58440	24966	4055		35493	33090
Coptosperma nigrescens	353865	339269	24966	4055		35493	33090
Coptosperma supra-axillare	1008959	339269	24966	4055		35493	33090
Cordylogyne globosa	397844	397843	4056	4055		35493	33090
Cordylostigma cuspidata	909490	909489	24966	4055		35493	33090
Cordylostigma longifolia	497246	909489	24966	4055		35493	33090
Cordylostigma microcala	497250	909489	24966	4055		35493	33090
Cordylostigma obtusiloba	499959	909489	24966	4055		35493	33090
Cordylostigma virgata	497252	909489	24966	4055		35493	33090
Corynanthe mayumbensis	170018	170017	24966	4055		35493	33090
Corynanthe pachyceras	170031	170017	24966	4055		35493	33090
Corynanthe paniculata	170032	170017	24966	4055		35493	33090
Cosmibuena grandiflora	128296	128295	24966	4055		35493	33090
Cosmibuena valerioi	35909	128295	24966	4055		35493	33090
Cosmocalyx spectabilis	339288	339287	24966	4055		35493	33090
Cosmostigma racemosum	491989	491988	4056	4055		35493	33090
Couma guianensis	403105	141552	4056	4055		35493	33090
Couma macrocarpa	141553	141552	4056	4055		35493	33090
Coussarea brevicaulis	564779	60043	24966	4055		35493	33090
Coussarea contracta	83581	60043	24966	4055		35493	33090
Coussarea curvigemmia	681427	60043	24966	4055		35493	33090
Coussarea hirticalyx	339289	60043	24966	4055		35493	33090
Coussarea hydrangeifolia	484842	60043	24966	4055		35493	33090
Coussarea ilheotica	477784	60043	24966	4055		35493	33090
Coussarea macrophylla	60044	60043	24966	4055		35493	33090
Coutaportla ghiesbreghtiana	128298	128297	24966	4055		35493	33090
Coutaportla guatemalensis	128299	128297	24966	4055		35493	33090
Coutarea andrei	128300	85717	24966	4055		35493	33090
Coutarea hexandra	85718	85717	24966	4055		35493	33090
Coutoubea minor	84877	82709	21472	4055		35493	33090
Coutoubea ramosa	82710	82709	21472	4055		35493	33090
Coutoubea spicata	84878	82709	21472	4055		35493	33090
Craspidospermum verticillatum	184384	184383	4056	4055		35493	33090
Craterispermum brachynematum	83583	83582	24966	4055		35493	33090
Craterispermum laurinum	172216	83582	24966	4055		35493	33090
Crawfurdia angustata	933359	50755	21472	4055		35493	33090
Crawfurdia campanulacea	933360	50755	21472	4055		35493	33090
Crawfurdia delavayi	267662	50755	21472	4055		35493	33090
Crawfurdia gracilipes	933361	50755	21472	4055		35493	33090
Crawfurdia maculaticaulis	933362	50755	21472	4055		35493	33090
Crawfurdia poilanei	933363	50755	21472	4055		35493	33090
Crawfurdia pricei	933364	50755	21472	4055		35493	33090
Crawfurdia sessiliflora	933365	50755	21472	4055		35493	33090
Crawfurdia speciosa	82711	50755	21472	4055		35493	33090
Crawfurdia tibetica	50756	50755	21472	4055		35493	33090
Cremaspora triflora	58494	58493	24966	4055		35493	33090
Cremocarpon lantzii	353866	189120	24966	4055		35493	33090
Crioceras dipladeniiflorum	761037	761036	4056	4055		35493	33090
Crossopteryx febrifuga	170354	170353	24966	4055		35493	33090
Crucianella angustifolia	29784	25103	24966	4055		35493	33090
Crucianella chlorostachys	715649	25103	24966	4055		35493	33090
Crucianella filifolia	715650	25103	24966	4055		35493	33090
Crucianella maritima	60140	25103	24966	4055		35493	33090
Crucianella sintenisii	715651	25103	24966	4055		35493	33090
Cruciata articulata	795962	25104	24966	4055		35493	33090
Cruciata glabra	29785	25104	24966	4055		35493	33090
Cruciata laevipes	29786	25104	24966	4055		35493	33090
Cruciata pedemontana	715652	25104	24966	4055		35493	33090
Cruciata taurica	715653	25104	24966	4055		35493	33090
Cruckshanksia hymenodon	83585	83584	24966	4055		35493	33090
Crusea calocephala	497226	60360	24966	4055		35493	33090
Crusea hispida	60361	60360	24966	4055		35493	33090
Crusea megalocarpa	497227	60360	24966	4055		35493	33090
Cryptolepis buchananii	413272	165212	4056	4055		35493	33090
Cryptolepis capensis	413273	165212	4056	4055		35493	33090
Cryptolepis delagoensis	413274	165212	4056	4055		35493	33090
Cryptolepis hypoglauca	413275	165212	4056	4055		35493	33090
Cryptolepis oblongifolia	141480	165212	4056	4055		35493	33090
Cryptolepis sinensis	429258	165212	4056	4055		35493	33090
Cryptostegia grandiflora	63468	63467	4056	4055		35493	33090
Cryptostegia madagascariensis	413276	63467	4056	4055		35493	33090
Cuatrecasasiodendron spectabile	336058	153822	24966	4055		35493	33090
Cubanola daphnoides	153743	43467	24966	4055		35493	33090
Cubanola domingensis	60141	43467	24966	4055		35493	33090
Curtia tenuifolia	94429	94428	21472	4055		35493	33090
Curtia verticillaris	146493	94428	21472	4055		35493	33090
Cuviera angolensis	164478	164477	24966	4055		35493	33090
Cycladenia humilis	141555	141554	4056	4055		35493	33090
Cyclophyllum balansae	440682	258743	24966	4055		35493	33090
Cyclophyllum barbatum	258744	258743	24966	4055		35493	33090
Cyclophyllum deplanchei	440683	258743	24966	4055		35493	33090
Cyclophyllum merrillianum	591793	258743	24966	4055		35493	33090
Cynanchum abyssinicum	185023	126747	4056	4055		35493	33090
Cynanchum acidum	492005	126772	4056	4055		35493	33090
Cynanchum acutum	185024	126747	4056	4055		35493	33090
Cynanchum adalinae	185025	126747	4056	4055		35493	33090
Cynanchum africanum	185027	126747	4056	4055		35493	33090
Cynanchum altiscandens	185028	126747	4056	4055		35493	33090
Cynanchum ampanihense	185029	126747	4056	4055		35493	33090
Cynanchum angavokeliense	185030	126747	4056	4055		35493	33090
Cynanchum appendiculatopsis	200206	126747	4056	4055		35493	33090
Cynanchum arenarium	185032	126747	4056	4055		35493	33090
Cynanchum auriculatum	157409	126747	4056	4055		35493	33090
Cynanchum beckii	276789	126747	4056	4055		35493	33090
Cynanchum blandum	185033	126747	4056	4055		35493	33090
Cynanchum boudieri	228707	126747	4056	4055		35493	33090
Cynanchum bungei	698326	126747	4056	4055		35493	33090
Cynanchum callialatum	491998	126747	4056	4055		35493	33090
Cynanchum caudatum	228708	126747	4056	4055		35493	33090
Cynanchum chinense	755258	126747	4056	4055		35493	33090
Cynanchum chouxii	200207	126747	4056	4055		35493	33090
Cynanchum comorense	185036	126747	4056	4055		35493	33090
Cynanchum compactum	126748	126747	4056	4055		35493	33090
Cynanchum crassiantherae	185037	126747	4056	4055		35493	33090
Cynanchum crassipedicellatum	200208	126747	4056	4055		35493	33090
Cynanchum cucullatum	185038	126747	4056	4055		35493	33090
Cynanchum danguyanum	185039	126747	4056	4055		35493	33090
Cynanchum descoingsii	185040	126747	4056	4055		35493	33090
Cynanchum ellipticum	126749	126747	4056	4055		35493	33090
Cynanchum erythranthum	185041	126747	4056	4055		35493	33090
Cynanchum falcatum	185042	126747	4056	4055		35493	33090
Cynanchum floribundum	185043	126747	4056	4055		35493	33090
Cynanchum foetidum	185044	126747	4056	4055		35493	33090
Cynanchum folotsioides	200209	126747	4056	4055		35493	33090
Cynanchum formosum	185045	126747	4056	4055		35493	33090
Cynanchum funale	276815	126747	4056	4055		35493	33090
Cynanchum gerrardii	185046	126747	4056	4055		35493	33090
Cynanchum grandidieri	200289	126747	4056	4055		35493	33090
Cynanchum hardyi	200211	126747	4056	4055		35493	33090
Cynanchum hastifolium	185035	126747	4056	4055		35493	33090
Cynanchum implicatum	185047	126747	4056	4055		35493	33090
Cynanchum insigne	200293	126747	4056	4055		35493	33090
Cynanchum itremense	200212	126747	4056	4055		35493	33090
Cynanchum juliani-marnieri	200213	126747	4056	4055		35493	33090
Cynanchum laeve	185048	126747	4056	4055		35493	33090
Cynanchum leucanthum	185049	126747	4056	4055		35493	33090
Cynanchum ligulatum	185050	126747	4056	4055		35493	33090
Cynanchum lineare	185051	126747	4056	4055		35493	33090
Cynanchum longipes	185052	126747	4056	4055		35493	33090
Cynanchum longirostrum	276791	126747	4056	4055		35493	33090
Cynanchum macranthum	200219	126747	4056	4055		35493	33090
Cynanchum madagascariense	185053	126747	4056	4055		35493	33090
Cynanchum mahafalense	185054	126747	4056	4055		35493	33090
Cynanchum mariense	185085	126747	4056	4055		35493	33090
Cynanchum marnieranum	200214	126747	4056	4055		35493	33090
Cynanchum messeri	185055	126747	4056	4055		35493	33090
Cynanchum mevei	185056	126747	4056	4055		35493	33090
Cynanchum meyeri	185057	126747	4056	4055		35493	33090
Cynanchum microphyllum	185058	126747	4056	4055		35493	33090
Cynanchum montevidense	126750	126747	4056	4055		35493	33090
Cynanchum moramangense	200215	126747	4056	4055		35493	33090
Cynanchum morrenioides	185059	126747	4056	4055		35493	33090
Cynanchum natalitium	185060	126747	4056	4055		35493	33090
Cynanchum obovatum	185219	126747	4056	4055		35493	33090
Cynanchum obtusifolium	185061	126747	4056	4055		35493	33090
Cynanchum orangeanum	185062	126747	4056	4055		35493	33090
Cynanchum otophyllum	765270	126747	4056	4055		35493	33090
Cynanchum ovalifolium	185063	126747	4056	4055		35493	33090
Cynanchum pachycladon	185064	126747	4056	4055		35493	33090
Cynanchum papillatum	185065	126747	4056	4055		35493	33090
Cynanchum perrieri	185067	126747	4056	4055		35493	33090
Cynanchum phillipsonianum	185068	126747	4056	4055		35493	33090
Cynanchum polyanthum	185069	126747	4056	4055		35493	33090
Cynanchum praecox	185070	126747	4056	4055		35493	33090
Cynanchum pycnoneuroides	185071	126747	4056	4055		35493	33090
Cynanchum radiatum	200216	126747	4056	4055		35493	33090
Cynanchum rauhianum	185072	126747	4056	4055		35493	33090
Cynanchum repandum	185073	126747	4056	4055		35493	33090
Cynanchum rossii	185074	126747	4056	4055		35493	33090
Cynanchum roulinioides	185075	126747	4056	4055		35493	33090
Cynanchum rubricoronae	185076	126747	4056	4055		35493	33090
Cynanchum rungweense	185077	126747	4056	4055		35493	33090
Cynanchum savannarum	185223	157419	4056	4055		35493	33090
Cynanchum schistoglossum	200217	126747	4056	4055		35493	33090
Cynanchum sessiliflorum	185078	126747	4056	4055		35493	33090
Cynanchum sigridiae	200218	126747	4056	4055		35493	33090
Cynanchum stoloniferum	141507	126772	4056	4055		35493	33090
Cynanchum streptanthum	276792	126747	4056	4055		35493	33090
Cynanchum tarmense	185079	126747	4056	4055		35493	33090
Cynanchum thesioides	185080	126747	4056	4055		35493	33090
Cynanchum toliari	200290	126747	4056	4055		35493	33090
Cynanchum tunicatum	491999	126747	4056	4055		35493	33090
Cynanchum verrucosum	126760	126747	4056	4055		35493	33090
Cynanchum viminale	126774	126772	4056	4055		35493	33090
Cynanchum wilfordii	228709	126747	4056	4055		35493	33090
Dactylostelma boliviense	276794	276793	4056	4055		35493	33090
Damnacanthus indicus	58425	58424	24966	4055		35493	33090
Damnacanthus macrophyllus	59633	58424	24966	4055		35493	33090
Danais comorensis	675712	58422	24966	4055		35493	33090
Danais fragrans	675713	58422	24966	4055		35493	33090
Danais xanthorrhoea	58423	58422	24966	4055		35493	33090
Decalepis arayalpathra	413278	413277	4056	4055		35493	33090
Decalepis hamiltonii	492000	413277	4056	4055		35493	33090
Deccania pubescens	136898	136897	24966	4055		35493	33090
Declieuxia cordigera	353867	60046	24966	4055		35493	33090
Declieuxia dusenii	60047	60046	24966	4055		35493	33090
Declieuxia fruticosa	88392	60046	24966	4055		35493	33090
Deianira pallescens	84880	84879	21472	4055		35493	33090
Dendrosipanea spigelioides	271228	271227	24966	4055		35493	33090
Dentella dioeca	511423	161424	24966	4055		35493	33090
Dentella repens	161425	161424	24966	4055		35493	33090
Deppea blumenaviensis	60048	43473	24966	4055		35493	33090
Deppea erythrorhiza	768881	43473	24966	4055		35493	33090
Deppea grandiflora	43474	43473	24966	4055		35493	33090
Deppea splendens	768882	43473	24966	4055		35493	33090
Dewevrella cochliostema	792584	792583	4056	4055		35493	33090
Dialypetalanthus fuscescens	109611	109610	24966	4055		35493	33090
Dibrachionostylus kaessneri	60363	60362	24966	4055		35493	33090
Dictyandra arborescens	114467	114466	24966	4055		35493	33090
Dictyophleba lucida	52829	52828	4056	4055		35493	33090
Didymaea alsinoides	58427	58426	24966	4055		35493	33090
Didymaea floribunda	715654	58426	24966	4055		35493	33090
Didymaea mexicana	60049	58426	24966	4055		35493	33090
Didymosalpinx lanciloba	339290	58491	24966	4055		35493	33090
Didymosalpinx norae	58492	58491	24966	4055		35493	33090
Diodella teres	497229	497228	24966	4055		35493	33090
Diodia aulacosperma	497230	60364	24966	4055		35493	33090
Diodia sarmentosa	60365	60364	24966	4055		35493	33090
Diodia spicata	497276	60364	24966	4055		35493	33090
Diodia virginiana	298690	60364	24966	4055		35493	33090
Dioicodendron dioicum	84958	84957	24966	4055		35493	33090
Diplolepis boerhaviifolia	185034	274548	4056	4055		35493	33090
Diplolepis descolei	276795	274548	4056	4055		35493	33090
Diplolepis geminiflora	157402	274548	4056	4055		35493	33090
Diplolepis hieronymi	157418	274548	4056	4055		35493	33090
Diplolepis menziesii	276796	274548	4056	4055		35493	33090
Diplolepis nummulariifolia	126751	274548	4056	4055		35493	33090
Diplorhynchus condylocarpon	184386	184385	4056	4055		35493	33090
Diplospora dubia	339291	114468	24966	4055		35493	33090
Diplospora polysperma	114469	114468	24966	4055		35493	33090
Diplostigma canescens	157411	157410	4056	4055		35493	33090
Dirichletia glaucescens	58433	640137	24966	4055		35493	33090
Dischidia astephana	365743	85195	4056	4055		35493	33090
Dischidia bengalensis	141471	85195	4056	4055		35493	33090
Dischidia chinensis	492001	85195	4056	4055		35493	33090
Dischidia hirsuta	365744	85195	4056	4055		35493	33090
Dischidia lanceolata	85196	85195	4056	4055		35493	33090
Discospermum abnorme	349141	349140	24966	4055		35493	33090
Ditassa angustifolia	276797	85035	4056	4055		35493	33090
Ditassa auriflora	277962	85035	4056	4055		35493	33090
Ditassa banksii	219231	85035	4056	4055		35493	33090
Ditassa burchellii	276798	85035	4056	4055		35493	33090
Ditassa cordeiroana	219232	85035	4056	4055		35493	33090
Ditassa ditassoides	219234	85035	4056	4055		35493	33090
Ditassa hastata	219235	85035	4056	4055		35493	33090
Ditassa hispida	277963	85035	4056	4055		35493	33090
Ditassa lenheirensis	375933	85035	4056	4055		35493	33090
Ditassa mucronata	276802	85035	4056	4055		35493	33090
Ditassa niruri	185082	85035	4056	4055		35493	33090
Ditassa retusa	276803	85035	4056	4055		35493	33090
Ditassa rotundifolia	276804	85035	4056	4055		35493	33090
Ditassa subtrivialis	185083	85035	4056	4055		35493	33090
Ditassa tomentosa	219237	85035	4056	4055		35493	33090
Djaloniella ypsilostyla	84882	84881	21472	4055		35493	33090
Dolianthus vaccinioides	189138	189137	24966	4055		35493	33090
Dolichodelphys chlorocrater	128302	128301	24966	4055		35493	33090
Dolicholobium macgregorii	153745	153744	24966	4055		35493	33090
Dolicholobium oblongifolium	153746	153744	24966	4055		35493	33090
Dolicholobium oxylobum	165009	153744	24966	4055		35493	33090
Dolichopentas decora	387054	640202	24966	4055		35493	33090
Dolichopentas lindenioides	387059	640202	24966	4055		35493	33090
Dolichopentas longiflora	387060	640202	24966	4055		35493	33090
Dregea sinensis	63470	63469	4056	4055		35493	33090
Dregea volubilis	714467	63469	4056	4055		35493	33090
Dunnia sinensis	187337	187336	24966	4055		35493	33090
Duperrea pavettifolia	114471	114470	24966	4055		35493	33090
Duroia aquatica	136673	114472	24966	4055		35493	33090
Duroia eriopila	136674	114472	24966	4055		35493	33090
Duroia hirsuta	114473	114472	24966	4055		35493	33090
Duroia micrantha	136675	114472	24966	4055		35493	33090
Durringtonia paludosa	158864	158863	24966	4055		35493	33090
Duvalia angustiloba	197257	141472	4056	4055		35493	33090
Duvalia eilensis	197258	141472	4056	4055		35493	33090
Duvalia elegans	141473	141472	4056	4055		35493	33090
Duvalia maculata	215626	141472	4056	4055		35493	33090
Duvalia polita	197259	141472	4056	4055		35493	33090
Duvalia sulcata	215630	141472	4056	4055		35493	33090
Duvaliandra dioscoridis	141475	141474	4056	4055		35493	33090
Dyera costulata	403085	403084	4056	4055		35493	33090
Echidnopsis angustiloba	197260	141476	4056	4055		35493	33090
Echidnopsis archeri	291088	141476	4056	4055		35493	33090
Echidnopsis ballyi	291090	141476	4056	4055		35493	33090
Echidnopsis bentii	291091	141476	4056	4055		35493	33090
Echidnopsis bihendulensis	381104	141476	4056	4055		35493	33090
Echidnopsis cereiformis	141477	141476	4056	4055		35493	33090
Echidnopsis dammanniana	141478	141476	4056	4055		35493	33090
Echidnopsis ericiflora	291089	141476	4056	4055		35493	33090
Echidnopsis fartaqensis	291095	141476	4056	4055		35493	33090
Echidnopsis globosa	291094	141476	4056	4055		35493	33090
Echidnopsis inconspicua	291077	141476	4056	4055		35493	33090
Echidnopsis insularis	291081	141476	4056	4055		35493	33090
Echidnopsis leachii	291087	141476	4056	4055		35493	33090
Echidnopsis malum	215618	141476	4056	4055		35493	33090
Echidnopsis mijerteina	291093	141476	4056	4055		35493	33090
Echidnopsis montana	291082	141476	4056	4055		35493	33090
Echidnopsis planiflora	291076	141476	4056	4055		35493	33090
Echidnopsis radians	291092	141476	4056	4055		35493	33090
Echidnopsis repens	197261	141476	4056	4055		35493	33090
Echidnopsis scutellata	291084	141476	4056	4055		35493	33090
Echidnopsis sharpei	291078	141476	4056	4055		35493	33090
Echidnopsis socotrana	291080	141476	4056	4055		35493	33090
Echidnopsis squamulata	197262	141476	4056	4055		35493	33090
Echidnopsis urceolata	291086	141476	4056	4055		35493	33090
Echidnopsis watsonii	291085	141476	4056	4055		35493	33090
Echites turriger	429259	141556	4056	4055		35493	33090
Echites umbellatus	144545	141556	4056	4055		35493	33090
Echites woodsonianus	429534	141556	4056	4055		35493	33090
Ectadium latifolium	413280	413279	4056	4055		35493	33090
Edithcolea grandis	197264	197263	4056	4055		35493	33090
Elaeagia auriculata	693334	128401	24966	4055		35493	33090
Elaeagia mariae	693335	128401	24966	4055		35493	33090
Elaeagia myriantha	153747	128401	24966	4055		35493	33090
Elaeagia obovata	693336	128401	24966	4055		35493	33090
Elaeagia utilis	693338	128401	24966	4055		35493	33090
Elytropus chilensis	429492	429491	4056	4055		35493	33090
Emmenopterys henryi	86990	86989	24966	4055		35493	33090
Emmeorhiza umbellata	298692	298691	24966	4055		35493	33090
Empogona kirkii	1033999	1033998	24966	4055		35493	33090
Enicostema axillare	82713	82712	21472	4055		35493	33090
Enicostema verticillatum	84883	82712	21472	4055		35493	33090
Enterospermum coriaceum	43479	43478	24966	4055		35493	33090
Eosanthe cubensis	339295	339294	24966	4055		35493	33090
Epigynum auritum	429494	429493	4056	4055		35493	33090
Epigynum cochinchinense	429537	429493	4056	4055		35493	33090
Epigynum griffithianum	429538	429493	4056	4055		35493	33090
Epigynum ridleyi	429539	429493	4056	4055		35493	33090
Epistemma rupestre	413282	413281	4056	4055		35493	33090
Erithalis diffusa	191693	43482	24966	4055		35493	33090
Erithalis fruticosa	43483	43482	24966	4055		35493	33090
Erithalis harrisii	191694	43482	24966	4055		35493	33090
Erithalis odorifera	191695	43482	24966	4055		35493	33090
Erithalis quadrangularis	191696	43482	24966	4055		35493	33090
Erithalis salmeoides	191697	43482	24966	4055		35493	33090
Erithalis vacciniifolia	191698	43482	24966	4055		35493	33090
Ernodea littoralis	60367	60366	24966	4055		35493	33090
Euclinia longiflora	58490	58489	24966	4055		35493	33090
Eustegia minuta	157414	157413	4056	4055		35493	33090
Eustoma exaltatum	84884	52517	21472	4055		35493	33090
Exaculum pusillum	198368	198367	21472	4055		35493	33090
Exacum affine	13525	13524	21472	4055		35493	33090
Exacum appendiculatum	592741	13524	21472	4055		35493	33090
Exacum atropurpureum	198369	13524	21472	4055		35493	33090
Exacum bulbilliferum	198370	13524	21472	4055		35493	33090
Exacum caeruleum	198371	13524	21472	4055		35493	33090
Exacum dolichantherum	198372	13524	21472	4055		35493	33090
Exacum exiguum	198373	13524	21472	4055		35493	33090
Exacum fruticosum	198374	13524	21472	4055		35493	33090
Exacum hamiltonii	198376	13524	21472	4055		35493	33090
Exacum humbertii	198377	13524	21472	4055		35493	33090
Exacum intermedium	198378	13524	21472	4055		35493	33090
Exacum linearifolium	198379	13524	21472	4055		35493	33090
Exacum macranthum	198380	13524	21472	4055		35493	33090
Exacum marojejyense	198381	13524	21472	4055		35493	33090
Exacum microcarpum	198382	13524	21472	4055		35493	33090
Exacum millotii	198383	13524	21472	4055		35493	33090
Exacum nummularifolium	198384	13524	21472	4055		35493	33090
Exacum oldenlandioides	198385	13524	21472	4055		35493	33090
Exacum pallidum	198386	13524	21472	4055		35493	33090
Exacum paucisquamum	198366	198365	21472	4055		35493	33090
Exacum pedunculatum	198387	13524	21472	4055		35493	33090
Exacum quinquenervium	198388	13524	21472	4055		35493	33090
Exacum sessile	198389	13524	21472	4055		35493	33090
Exacum stenophyllum	198390	13524	21472	4055		35493	33090
Exacum subacaule	198391	13524	21472	4055		35493	33090
Exacum subteres	198392	13524	21472	4055		35493	33090
Exacum subverticillatum	198393	13524	21472	4055		35493	33090
Exacum sutaepense	198394	13524	21472	4055		35493	33090
Exacum tetragonum	84885	13524	21472	4055		35493	33090
Exacum trinervium	198395	13524	21472	4055		35493	33090
Exacum walkeri	198397	13524	21472	4055		35493	33090
Exacum wightianum	198398	13524	21472	4055		35493	33090
Exochaenium baumianum	592744	592743	21472	4055		35493	33090
Exochaenium clavatum	592753	84920	21472	4055		35493	33090
Exochaenium debile	592752	84920	21472	4055		35493	33090
Exochaenium fernandesianum	592754	84920	21472	4055		35493	33090
Exochaenium grande	592745	592743	21472	4055		35493	33090
Exochaenium lineariforme	592755	84920	21472	4055		35493	33090
Exochaenium macropterum	592756	84920	21472	4055		35493	33090
Exochaenium oliganthum	592757	84920	21472	4055		35493	33090
Exochaenium perparvum	592758	84920	21472	4055		35493	33090
Exochaenium platypterum	592747	592743	21472	4055		35493	33090
Exochaenium teucszii	592746	592743	21472	4055		35493	33090
Exostema acuminatum	85719	43484	24966	4055		35493	33090
Exostema brachycarpum	85720	43484	24966	4055		35493	33090
Exostema caribaeum	43485	43484	24966	4055		35493	33090
Exostema corymbosum	85721	43484	24966	4055		35493	33090
Exostema ellipticum	85722	43484	24966	4055		35493	33090
Exostema ixoroides	85723	43484	24966	4055		35493	33090
Exostema lancifolium	85724	43484	24966	4055		35493	33090
Exostema lineatum	85725	43484	24966	4055		35493	33090
Exostema longiflorum	85726	43484	24966	4055		35493	33090
Exostema maynense	85727	43484	24966	4055		35493	33090
Exostema mexicanum	85728	43484	24966	4055		35493	33090
Exostema myrtifolium	85729	43484	24966	4055		35493	33090
Exostema nitens	85730	43484	24966	4055		35493	33090
Exostema parviflorum	85731	43484	24966	4055		35493	33090
Exostema purpureum	85732	43484	24966	4055		35493	33090
Exostema salicifolium	85733	43484	24966	4055		35493	33090
Exostema spinosum	85734	43484	24966	4055		35493	33090
Exostema stenophyllum	85735	43484	24966	4055		35493	33090
Fadogia agrestis	308929	164493	24966	4055		35493	33090
